1;10;0.1;-3;30;0.8346666667;83.4666666667;10-RBF
2;10;0.1;-3;30;0.7246666667;72.4666666667;10-RBF
4;10;0.1;-3;30;0.528;52.8;10-RBF
8;10;0.1;-3;30;0.3313333333;33.1333333333;10-RBF
16;10;0.1;-3;30;0.196;19.6;10-RBF
32;10;0.1;-3;30;0.1226666667;12.2666666667;10-RBF
64;10;0.1;-3;30;0.1433333333;14.3333333333;10-RBF
128;10;0.1;-3;30;0.2313333333;23.1333333333;10-RBF
256;10;0.1;-3;30;0.9613333333;96.1333333333;10-RBF
512;10;0.1;-2.5;30;0.9606666667;96.0666666667;10-RBF
617;10;0.1;-2.5;30;0.9613333333;96.1333333333;10-RBF
1;20;0.1;-3;30;0.842;84.2;20-RBF
2;20;0.1;-3;30;0.6973333333;69.7333333333;20-RBF
4;20;0.1;-3;30;0.5106666667;51.0666666667;20-RBF
8;20;0.1;-3;30;0.2893333333;28.9333333333;20-RBF
16;20;0.1;-3;30;0.1726666667;17.2666666667;20-RBF
32;20;0.1;-3;30;0.092;9.2;20-RBF
64;20;0.1;-3;30;0.0786666667;7.8666666667;20-RBF
128;20;0.1;-3;30;0.0953333333;9.5333333333;20-RBF
256;20;0.1;-3;30;0.8093333333;80.9333333333;20-RBF
512;20;0.1;-2.5;30;0.9606666667;96.0666666667;20-RBF
617;20;0.1;-2.5;30;0.962;96.2;20-RBF
1;40;0.1;-3;30;0.83;83;40-RBF
2;40;0.1;-3;30;0.7173333333;71.7333333333;40-RBF
4;40;0.1;-3;30;0.4753333333;47.5333333333;40-RBF
8;40;0.1;-3;30;0.272;27.2;40-RBF
16;40;0.1;-3;30;0.178;17.8;40-RBF
32;40;0.1;-3;30;0.0753333333;7.5333333333;40-RBF
64;40;0.1;-3;30;0.0693333333;6.9333333333;40-RBF
128;40;0.1;-3;30;0.0746666667;7.4666666667;40-RBF
256;40;0.1;-3;30;0.2506666667;25.0666666667;40-RBF
512;40;0.1;-2.5;30;0.9626666667;96.2666666667;40-RBF
617;40;0.1;-2.5;30;0.9626666667;96.2666666667;40-RBF
1;80;0.1;-3;30;0.8446666667;84.4666666667;80-RBF
2;80;0.1;-3;30;0.7026666667;70.2666666667;80-RBF
4;80;0.1;-3;30;0.4693333333;46.9333333333;80-RBF
8;80;0.1;-3;30;0.2566666667;25.6666666667;80-RBF
16;80;0.1;-3;30;0.142;14.2;80-RBF
32;80;0.1;-3;30;0.0806666667;8.0666666667;80-RBF
64;80;0.1;-3;30;0.06;6;80-RBF
128;80;0.1;-3;30;0.0826666667;8.2666666667;80-RBF
256;80;0.1;-3;30;0.9173333333;91.7333333333;80-RBF
512;80;0.1;-2.5;30;0.9613333333;96.1333333333;80-RBF
617;80;0.1;-2.5;30;0.9613333333;96.1333333333;80-RBF
1;100;0.1;-3;30;0.8466666667;84.6666666667;100-RBF
2;100;0.1;-3;30;0.712;71.2;100-RBF
4;100;0.1;-3;30;0.4606666667;46.0666666667;100-RBF
8;100;0.1;-3;30;0.2813333333;28.1333333333;100-RBF
16;100;0.1;-3;30;0.1473333333;14.7333333333;100-RBF
32;100;0.1;-3;30;0.078;7.8;100-RBF
64;100;0.1;-3;30;0.062;6.2;100-RBF
128;100;0.1;-3;30;0.0593333333;5.9333333333;100-RBF
256;100;0.1;-3;30;0.9613333333;96.1333333333;100-RBF
512;100;0.1;-2.5;30;0.9613333333;96.1333333333;100-RBF
617;100;0.1;-2.5;30;0.9613333333;96.1333333333;100-RBF
